"id","facility_construction_status","facility_name","naic_code","facility_category","facility_type","target_saving","display_pic_url","unit_number","street_number","street_name","city","country","province","postal_code","address","sector","gross_floor_area","number_of_storeys","occupancy","number_of_building","company_id","facility_id_general_status","facility_id_submission_status","ng_distribution_company","ng_distribution_company_data_extraction","longitude","latitude","facility_bas","facility_bas_connectivity","is_approved","approved_by","is_active","created_at","updated_at","created_by","updated_by","total_electricity_savings","energy_savings","total_incentive_earned","benchmarking_eui","facility_nickname","year_of_construction","facility_ubi","serial_number"
11,NULL,"Test facility","322211","322","322211",NULL,"https://semiproduploads.blob.core.windows.net/files/_995418_unknown1733325400032.png?sv=2025-01-05&spr=https&se=2034-12-04T15%3A16%3A40Z&sr=b&sp=r&sig=supHfVAkWIknNcYuA5XHGJCvgZjV8upG4r706fJx6fA%3D","1234","123","Maple Street","Calgary","Canada","Alberta","A1A1A1",NULL,"31",NULL,NULL,NULL,NULL,55,2,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 15:16:48.245","2024-12-04 15:36:04.73",105,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
12,NULL,"rero3","561990","561","561990",NULL,NULL,"","asd","daa","asd","Canada","Alberta","a1a1a1",NULL,"56",NULL,NULL,NULL,NULL,70,1,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 15:30:55.715","2024-12-04 15:36:07.003",131,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
13,NULL,"rero4","236220","236","236220",NULL,NULL,"","ad","asd","dsa","Canada","Alberta","a1a1a1",NULL,"23",NULL,NULL,NULL,NULL,70,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 15:33:29.271","2024-12-04 16:40:38.523",131,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
14,NULL,"Facility 5","339930","339","339930",NULL,"https://semiproduploads.blob.core.windows.net/files/_995418_unknown1733326773137.png?sv=2025-01-05&spr=https&se=2034-12-04T15%3A39%3A33Z&sr=b&sp=r&sig=rIVlzlJWTXq5euAw9cYjJl6aGkEm7t1Itjo6BDj1qgo%3D","123","123","Maple Street","Calgary","Canada","Alberta","A1A1A1",NULL,"31",NULL,NULL,NULL,NULL,55,2,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 15:39:44.116","2024-12-04 16:40:45.385",105,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
15,NULL,"CSV Karr Gas Plant","211110","211","211110",NULL,"https://semiproduploads.blob.core.windows.net/files/_149565_unknown1733329696771.jpg?sv=2025-01-05&spr=https&se=2034-12-04T16%3A28%3A16Z&sr=b&sp=r&sig=qwCNEyzTy%2FXornvSvXeNJsI7fRZFmrL%2FrqODr7Ks1G0%3D","","8.5","N Imperial Road","Greenview County","Canada","Alberta","T0G2C0",NULL,"21",NULL,NULL,NULL,NULL,119,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-04 16:30:10.711","2025-03-11 21:56:09.464",219,219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
16,NULL,"Water Pure & Simple - Westlock","312110","312","312110",NULL,NULL,"","9612","100 Street","Westlock","Canada","Alberta","T7P2L2",NULL,"31",NULL,NULL,NULL,NULL,215,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-04 19:56:09.568","2024-12-04 19:58:19.721",354,354,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
17,NULL,"TestCompany1","111411","111","111411",NULL,NULL,"5","55","Test Street","Toronto","Canada","Alberta","A1A1A1",NULL,"11",NULL,NULL,NULL,NULL,211,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-04 20:26:22.991","2025-02-28 18:53:38.059",368,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
18,NULL,"TestCompany3","236220","236","236220",NULL,NULL,"5","55","Test Street","Toronto","Canada","Alberta","A1A1A1",NULL,"23",NULL,NULL,NULL,NULL,227,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 20:57:54.158","2025-07-08 20:12:47.959",368,129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
19,NULL,"TestCompany4","322121","322","322121",NULL,NULL,"5","55","Test Street","Toronto","Canada","Alberta","A1A1A1",NULL,"31",NULL,NULL,NULL,NULL,227,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 20:58:50.933","2024-12-04 21:46:16.626",368,368,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
20,NULL,"NANTON PROCESSING","115110","115","115110",NULL,"https://semiproduploads.blob.core.windows.net/files/_2216783_unknown1733375428172.png?sv=2025-01-05&spr=https&se=2034-12-05T05%3A10%3A28Z&sr=b&sp=r&sig=CBBmc1srRu6OFZvVj7FVpabZAppiaNe6qxLo75UDaug%3D","","2211"," 19 Ave","NANTON","Canada","Alberta","T0L1R0",NULL,"11",NULL,NULL,NULL,NULL,231,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 05:10:56.277","2024-12-05 05:13:06.987",372,372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
21,NULL,"TestCompany3","112210","112","112210",NULL,NULL,"4","55 Maitland street","Testing","Toronto","Canada","Alberta","M4Y1C9",NULL,"11",NULL,NULL,NULL,NULL,232,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-05 14:47:00.529","2025-07-08 20:13:00.661",373,373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
22,NULL,"TestCompany1","327910","327","327910",NULL,"https://semiproduploads.blob.core.windows.net/files/_33131_unknown1733415496460.png?sv=2025-01-05&spr=https&se=2034-12-05T16%3A18%3A16Z&sr=b&sp=r&sig=Azdw7ci%2FwqDGOST51HjPXNupguzybWZm1D9KHOW7%2B9Q%3D","4","55","320","Toronto","Canada","Alberta","M4Y1C9",NULL,"31",NULL,NULL,NULL,NULL,236,1,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-05 16:18:28.631","2025-07-08 20:13:13.303",377,129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
23,NULL,"Alberta Newsprint Company","322122","322","322122",NULL,"https://semiproduploads.blob.core.windows.net/files/_2304980_unknown1733416687307.jpg?sv=2025-01-05&spr=https&se=2034-12-05T16%3A38%3A07Z&sr=b&sp=r&sig=AnBIZwfV4nGPSB9ZwkCRixSC9%2FEBhBVBRfKZpX6bWxU%3D","","Postal Bag 9000","Whitecourt","Whitecourt","Canada","Alberta","T7S1P9",NULL,"31",NULL,NULL,NULL,NULL,164,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 16:39:59.363","2025-03-07 21:51:47.101",287,287,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
24,NULL,"TestCompany4","322220","322","322220",NULL,"https://semiproduploads.blob.core.windows.net/files/_153047_unknown1733417868569.png?sv=2025-01-05&spr=https&se=2034-12-05T16%3A57%3A48Z&sr=b&sp=r&sig=bZ47y541dV%2F2Sro77aVEutYa2GqcgvHlyrJRJKsc4HE%3D","5","5","5","toronto","Canada","Alberta","A1A1A1",NULL,"31",NULL,NULL,NULL,NULL,236,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-05 16:56:44.403","2025-07-08 20:13:18.831",377,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
25,NULL,"Facility 8","237210","237","237210",NULL,NULL,"1234","123","Maple Street","Calgary","Canada","Alberta","A1A1A1",NULL,"23",NULL,NULL,NULL,NULL,148,1,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 17:11:26.092","2024-12-05 17:11:26.092",105,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
26,NULL,"Test","211110","211","211110",NULL,NULL,"","315","Slate Ave","Stony plain","Canada","Alberta","T7Z0J2",NULL,"21",NULL,NULL,NULL,NULL,205,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 17:26:01.189","2024-12-06 17:49:14.487",341,341,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
27,NULL,"Home Team Facility","313240","313","313240",NULL,NULL,"","8880","Horton Street SW","Calgary","Canada","Alberta","T2V2W3",NULL,"31",NULL,NULL,NULL,NULL,237,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-05 17:28:13.042","2025-07-08 20:28:49.16",378,378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
28,NULL,"RME Red Deer","115110","115","115110",NULL,NULL,"","66","Belich Crescent","Red Deer","Canada","Alberta","T4S2K5",NULL,"11",NULL,NULL,NULL,NULL,230,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 20:35:40.043","2024-12-05 20:43:34.181",371,371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
29,NULL,"Findley 9-24-57-6W6","211110","211","211110",NULL,NULL,"3100","308","4th Ave SW","Calgary","Canada","Alberta","T2P0H7",NULL,"21",NULL,NULL,NULL,NULL,241,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 20:46:06.12","2024-12-05 20:55:21.92",382,382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
30,NULL,"RME Edmonton","115110","115","115110",NULL,NULL,"","17720 ","105 Ave","Edmonton","Canada","Alberta","T5S1G4",NULL,"11",NULL,NULL,NULL,NULL,230,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 20:51:10.782","2024-12-05 20:53:26.692",371,371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
31,NULL,"Wild Rose Brewery","312120","312","312120",NULL,NULL,"15","5505  ","72 Ave, South East","Calgary","Canada","Alberta","T2C3C4",NULL,"31",NULL,NULL,NULL,NULL,196,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 21:02:50.194","2025-01-22 17:36:30.536",329,384,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
32,NULL,"Optima Manufacturing","333130","333","333130",NULL,NULL,"","2480","Pegasus Road","Calgary","Canada","Alberta","T2E8G8",NULL,"31",NULL,NULL,NULL,NULL,163,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 21:16:51.095","2024-12-05 21:23:53.681",286,286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
33,NULL,"Jumping Pound Gas Plant 13-13-25-5W5","211110","211","211110",NULL,NULL,"3100","308","4th Ave SW","Calgary","Canada","Alberta","T2P0H7",NULL,"21",NULL,NULL,NULL,NULL,241,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 22:35:44.864","2024-12-05 22:42:17.363",382,382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
34,NULL,"Maple Leaf Consumer Foods","311615","311","311615",NULL,NULL,"","2619 ","91 Ave","Edmonton","Canada","Alberta","T6P1S3",NULL,"31",NULL,NULL,NULL,NULL,46,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-05 23:02:57.25","2024-12-05 23:09:13.234",91,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
35,NULL,"Pro-Pipe Service and Sales Ltd","339999","339","339999",NULL,NULL,"1507","7","St","Nisku","Canada","Alberta","T9E8A8",NULL,"31",NULL,NULL,NULL,NULL,235,1,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-06 15:56:53.226","2024-12-09 18:57:51.91",386,386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
36,NULL,"HITEC FUEL SYSTEMS INC","484229","484","484229",NULL,"https://semiproduploads.blob.core.windows.net/files/_2576764_unknown1733518371146.JPG?sv=2025-01-05&spr=https&se=2034-12-06T20%3A52%3A51Z&sr=b&sp=r&sig=fbL8Vi2lqOfbsRSDoGWTTnqjn8FzT8ixNta153aCdFk%3D","","15340","114 ave","Edmonton","Canada","Alberta","T5M2Z2",NULL,"48",NULL,NULL,NULL,NULL,248,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-06 20:52:58.291","2024-12-06 21:07:27.638",392,392,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
37,NULL,"Demir Engineering","332999","332","332999",NULL,NULL,"","7324","36 Street NW","Edmonton","Canada","Alberta","T6B3E8",NULL,"31",NULL,NULL,NULL,NULL,249,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-06 21:33:00.267","2025-06-27 17:27:36.528",393,393,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
38,NULL,"TOURMALINE EXSHAW 03-10-077-07W6","211110","211","211110",NULL,NULL,"3700","205","6th Avenue SW","Calgary","Canada","Alberta","T2P3H7",NULL,"21",NULL,NULL,NULL,NULL,243,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-06 21:37:40.39","2024-12-06 21:48:24.452",387,387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
39,NULL,"ARK Greenhouse on Sprung Campus","115110","115","115110",NULL,"https://semiproduploads.blob.core.windows.net/files/_254526_unknown1733742899330.jpg?sv=2025-01-05&spr=https&se=2034-12-09T11%3A14%3A59Z&sr=b&sp=r&sig=IZ0iXWcdRfn9BzR4Sni3w62gv6I%2BNUQvlNTqbF%2Bzh7Q%3D","","80039","Maple Leaf Rd.","Aldersyde","Canada","Alberta","T0L0A0",NULL,"11",NULL,NULL,NULL,NULL,246,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-09 11:16:59.544","2024-12-09 11:19:00.114",390,390,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
40,NULL,"Davey Textile Solutions","313220","313","313220",NULL,"https://semiproduploads.blob.core.windows.net/files/_1208915_unknown1733865724830.jpg?sv=2025-01-05&spr=https&se=2034-12-10T21%3A22%3A05Z&sr=b&sp=r&sig=wDe5F1LezC7%2BgkVc45ya9QKOy76U9DXWU8cddHaKhl8%3D","","10505","169 Street NW","Edmonton","Canada","Alberta","T5P4Y7",NULL,"31",NULL,NULL,NULL,NULL,87,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-10 21:22:09.561","2024-12-17 20:14:47.412",168,168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
41,NULL,"Dcore Project Solutions","238170","238","238170",NULL,NULL,"","6404","30 Street SE","Calgary","Canada","Alberta","T2C1V6",NULL,"23",NULL,NULL,NULL,NULL,252,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-11 01:19:46.896","2024-12-11 01:22:28.232",396,396,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
42,NULL,"TriAcc Office","211110","211","211110",NULL,NULL,"","123","abc St.","Calgary","Canada","Alberta","T2P3R5",NULL,"21",NULL,NULL,NULL,NULL,191,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-11 04:25:14.529","2025-01-04 18:17:45.688",397,397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
43,NULL,"Tourmaline WILLGREEN 10-34-040-06W5","211110","211","211110",NULL,NULL,"3700","250","6 Ave SW","Calgary","Canada","Alberta","T2P3H7",NULL,"21",NULL,NULL,NULL,NULL,243,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-11 18:18:28.199","2024-12-11 18:22:05.335",387,387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
44,NULL,"TestFacilityEmail","112920","112","112920",NULL,NULL,"","123","321","Dsasd","Canada","Alberta","a1a1a1",NULL,"11",NULL,NULL,NULL,NULL,255,1,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-12 10:29:08.567","2025-07-08 20:13:27.665",400,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
45,NULL,"TestOldMailOutlook","111330","111","111330",NULL,NULL,"","123","asd","asd","Canada","Alberta","a1a1a1",NULL,"11",NULL,NULL,NULL,NULL,256,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-12 10:51:52.566","2025-07-08 20:26:52.859",401,401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
46,NULL,"Success Berry Gas Plant","211110","211","211110",NULL,NULL,"","0","01-02-027-14 W4M","Sunnynook","Canada","Alberta","A1A1A1",NULL,"21",NULL,NULL,NULL,NULL,254,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-12 16:02:53.562","2025-02-05 17:41:41.058",399,399,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
47,NULL,"Ald West 06-02 Battery","211110","211","211110",NULL,"https://semiproduploads.blob.core.windows.net/files/_1178456_unknown1734025093719.PNG?sv=2025-01-05&spr=https&se=2034-12-12T17%3A38%3A14Z&sr=b&sp=r&sig=KWUHF%2F6GZavCjfq0zRev9YWNnwU26qwOwU1TLCB5GJk%3D","","06-02-016-15W4","50.315528, -111.966332","Brooks","Canada","Alberta","A1A1A1",NULL,"21",NULL,NULL,NULL,NULL,257,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-12 17:40:25.557","2025-01-13 22:34:05.927",403,403,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
48,NULL,"TestCompany1","324122","324","324122",NULL,NULL,"55","55","320","Toronto","Canada","Alberta","M4Y1C9",NULL,"31",NULL,NULL,NULL,NULL,232,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-13 14:11:05.406","2025-07-08 20:13:36.397",373,373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
49,NULL,"AB Mauri Calgary Plant","311990","311","311990",NULL,"https://semiproduploads.blob.core.windows.net/files/_66665_unknown1734115082559.jpg?sv=2025-01-05&spr=https&se=2034-12-13T18%3A38%3A03Z&sr=b&sp=r&sig=%2FfKKgxTFNQxZvmRzsVzdJen9Hpg3sZcZX%2BrbIb%2BY4nM%3D","2201","15","Street","Calgary","Canada","Alberta","T2G3M3",NULL,"31",NULL,NULL,NULL,NULL,219,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-13 18:38:37.05","2024-12-17 23:46:25.675",360,360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
50,NULL,"HB Summerland Farming CO LTD","112210","112","112210",NULL,"https://semiproduploads.blob.core.windows.net/files/_323279_unknown1734995228937.jpg?sv=2025-01-05&spr=https&se=2034-12-23T23%3A07%3A09Z&sr=b&sp=r&sig=kInzPo0sLKyUGOmvRLKD9NRHgcM8qoP3o5uWy2Y8G7s%3D","1","BOX 1328","BOX1328","Claresholm","Canada","Alberta","T0L0T0",NULL,"11",NULL,NULL,NULL,NULL,134,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-14 17:28:24.345","2024-12-23 23:16:40.563",243,243,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
51,NULL,"Kaybob 05-33 Gathering Station","211110","211","211110",NULL,"https://semiproduploads.blob.core.windows.net/files/_4652885_unknown1734365442094.jpg?sv=2025-01-05&spr=https&se=2034-12-16T16%3A10%3A43Z&sr=b&sp=r&sig=HKZCOj%2FkIHiD5UVyK5hA3FfkxbXaykWk67NkIU7kdUs%3D","","05-33-063-20W5","N/A","Municipal District of Greenview","Canada","Alberta","T0H3Z0",NULL,"21",NULL,NULL,NULL,NULL,108,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-16 16:12:44.179","2024-12-16 16:43:34.248",202,202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
52,NULL,"abc","211141","211","211141",NULL,NULL,"","144 4 Ave SW","144 4 Ave SW","Calgary","Canada","Alberta","T2P3N4",NULL,"21",NULL,NULL,NULL,NULL,212,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-16 17:09:41.347","2024-12-16 17:12:35.244",351,351,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
53,NULL,"abc","211141","211","211141",NULL,NULL,"","112 4 Ave SW, Calgary, AB","144 4 Ave SW","Calgary","Canada","Alberta","T2P3N3",NULL,"21",NULL,NULL,NULL,NULL,212,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-16 17:14:54.887","2024-12-16 17:20:25.119",351,351,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
54,NULL,"Sofina - Calgary","311615","311","311615",NULL,NULL,"","6202","106 Avenue SE","Calgary","Canada","Alberta","T2C4Z8",NULL,"31",NULL,NULL,NULL,NULL,30,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-16 18:47:22.553","2024-12-23 22:52:44.747",65,407,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
55,NULL,"Sofina - Edmonton South","311614","311","311614",NULL,NULL,"","9620","56 Avenue NW","Edmonton","Canada","Alberta","T6E0B3",NULL,"31",NULL,NULL,NULL,NULL,30,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-16 18:56:51.95","2025-02-28 18:54:49.695",65,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
56,NULL,"Sofina - Edmonton North","311615","311","311615",NULL,NULL,"","7727","127 Avenue NW","Edmonton","Canada","Alberta","T5C1R9",NULL,"31",NULL,NULL,NULL,NULL,30,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-16 19:00:34.85","2024-12-18 16:19:15.407",65,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
57,NULL,"TestFacility","339110","339","339110",NULL,NULL,"","1561","165165","Calgary","Canada","Alberta","A1A1A1",NULL,"31",NULL,NULL,NULL,NULL,260,3,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-16 21:16:41.836","2025-07-08 20:13:44.255",408,408,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
58,NULL,"Sakai Spice","311990","311","311990",NULL,"https://semiproduploads.blob.core.windows.net/files/_2477274_unknown1734457965638.JPG?sv=2025-01-05&spr=https&se=2034-12-17T17%3A52%3A46Z&sr=b&sp=r&sig=i1TUJX%2FXZGySPROswE0DtwA6twFp%2BX51fDOuZafyKTs%3D","","4201","2nd Ave N","Lethbridge","Canada","Alberta","T1H0C8",NULL,"31",NULL,NULL,NULL,NULL,261,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-17 17:53:19.818","2024-12-17 18:03:29.29",409,409,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
