id,facility_name,naic_code,facility_category,facility_type,unit_number,street_number,street_name,city,country,province,postal_code,address,sector,company_id,facility_id_general_status,facility_id_submission_status,updated_at,company_name,account_owner_email
99,Millar Western Forest Products Ltd. Whitecourt Pulp Division,322111,322,322111,,50,Mill Road,Whitecourt,Canada,Alberta,T7S1N9,NULL,31,176,2,0,17:42.1,Millar Western Forest Products Ltd. ,mmorton@millarwestern.com
145,ANC Power Plant,221112,221,221112,,Postal Bag 9000,Whitecourt,Whitecourt,Canada,Alberta,T7S1P9,NULL,22,164,2,0,28:45.0,Alberta Newsprint Company,poornac@albertanewsprint.com
125,ATCO Alberta Hub,221210,221,221210,,15-27-054-14W5M,15-27-054-14W5M,Edson,Canada,Alberta,A1A1A1,NULL,22,307,3,2,14:09.0,ATCO EnPower,mei.huang@atco.com
150,Maple Leaf Hatchery,112340,112,112340,,4710,39 Ave,Wetaskiwin,Canada,Alberta,T9A3G2,NULL,11,332,2,0,39:03.7,Maple Leaf Hatchery,mike.lenhart@mapleleaf.com
298,Cargill Canola Crush Camrose,311225,311,311225,,46450,Range road 200,Camrose,Canada,Alberta,T4V2M9,NULL,31,507,3,2,52:32.6,Cargill Limited,meesum_kazmi@cargill.com
318,Empl created + Empl Started,562990,562,562990,,312,Hello,Calgary,Canada,Alberta,T3M3P1,NULL,56,522,3,2,35:45.2,Uber,andrei60@yopmail.com
319,Empl created + Owner started + Empl Submited,114210,114,114210,,333,aaa,sadasd,Canada,Alberta,t3m3m3,NULL,11,522,3,2,35:47.1,Uber,andrei60@yopmail.com
230,Testdfsd,111419,111,111419,,123,Maple Street,Calgary,Canada,Alberta,A1A1A1,NULL,11,70,3,2,01:20.1,Test green company1,NULL
320,Owner created + owner started + owner submitted,237310,237,237310,,213,aa,sdasd,Canada,Alberta,t4t4t4,NULL,23,522,3,2,35:48.8,Uber,andrei60@yopmail.com
127,1463902 Ab Ltd,213118,213,213118,,2705,64 St,Drayton Valley,Canada,Alberta,T7A1S1,NULL,21,349,3,2,55:51.6,Ariant Holdings Ltd.,smacpherson@ariant.ca
426,reearth,562210,562,562210,,49432,RR 244,Leduc County,Canada,Alberta,T9E8A8,NULL,56,581,2,0,21:19.6,Reearth Corp,don.rodrigue@reearth.ca
153,Gordondale East Gas  Plant,213118,213,213118,11-26-79-09- W6M,55.880148,-119.296966,Peace Arch,Canada,Alberta,A1A1A1,NULL,21,367,3,2,32:50.7,NorthRiver midstream,abdel.hagar@nrm.ca
156,KAKWAS 7-09-062-08W6 ,211110,211,211110,3700,250,6 Ave SW,Calgary,Canada,Alberta,T2P3H7,NULL,21,243,3,2,35:49.8,Tourmaline Oil Corp,krista.town@tourmalineoil.com
8,rerorero,562910,562,562910,,asd,sad,das,Canada,Alberta,a1a1a1,NULL,56,70,1,2,30:37.8,Test green company1,NULL
9,Test Facility,324122,324,324122,1234,123,Maple Street,Calgary,Canada,Alberta,A1A1A1,NULL,31,55,2,2,16:07.2,SEMI ADMIN,harsanjit.bhullar@enerva.ca
10,rero2,322220,322,322220,,sad,das,asd,Canada,Alberta,a1a1a1,NULL,31,70,1,2,30:35.5,Test green company1,NULL
11,Test facility,322211,322,322211,1234,123,Maple Street,Calgary,Canada,Alberta,A1A1A1,NULL,31,55,2,2,36:04.7,SEMI ADMIN,harsanjit.bhullar@enerva.ca
12,rero3,561990,561,561990,,asd,daa,asd,Canada,Alberta,a1a1a1,NULL,56,70,1,2,36:07.0,Test green company1,NULL
138,University Of Calgary Central Heating Plant,221112,221,221112,UOC01,2500,University Drive NW,Calgary,Canada,Alberta,T2N1N4,NULL,22,366,3,2,27:25.7,University Of Calgary,earl.badger@ucalgary.ca
321,Owner created + owner start + emp subm ,237120,237,237120,,213,Asd,Casd,Canada,Alberta,t4t4t4,NULL,23,522,3,2,35:50.3,Uber,andrei60@yopmail.com
280,Canfor Fox Creek,321111,321,321111,,19040,Highway 43,Fox Creek,Canada,Alberta,T0H1P0,NULL,31,175,2,0,19:21.8,Canadian Forest Products Ltd.,Kevin.McIntyre@canfor.com
242,Tourmaline Horse 16-17-058-26W5,211110,211,211110,3700,250 6 Ave SW,6 Ave SW,Calgary,Canada,Alberta,T2P3H7,NULL,21,243,3,2,58:25.5,Tourmaline Oil Corp,krista.town@tourmalineoil.com
233,WhatisThis,111421,111,111421,,1,3234,Calgary,Canada,Alberta,G5H6J7,NULL,11,445,2,0,47:09.0,MeetingDemo,NULL
322,sad,561710,561,561710,,213,123,asd,Canada,Alberta,t4t4t4,NULL,56,522,3,2,35:52.1,Uber,andrei60@yopmail.com
14,Facility 5,339930,339,339930,123,123,Maple Street,Calgary,Canada,Alberta,A1A1A1,NULL,31,55,2,2,40:45.4,SEMI ADMIN,harsanjit.bhullar@enerva.ca
55,Sofina - Edmonton South,311614,311,311614,,9620,56 Avenue NW,Edmonton,Canada,Alberta,T6E0B3,NULL,31,30,3,2,54:49.7,Sofina Foods,jbayliss@sofinafoods.com
56,Sofina - Edmonton North,311615,311,311615,,7727,127 Avenue NW,Edmonton,Canada,Alberta,T5C1R9,NULL,31,30,3,2,19:15.4,Sofina Foods,jbayliss@sofinafoods.com
62,LWR Main Office,238160,238,238160,100,3645,48 Ave,Calgary,Canada,Alberta,T2B3N8,NULL,23,44,3,2,19:50.3,2048383 Alberta LTD,rcornfor@ualberta.ca
69,Main,213119,213,213119,120,1220,28th St NE,Calgary,Canada,Alberta,T2A6A2,NULL,21,64,3,2,49:22.8,Litus,nedal.marei@litus.ca
5,GreenFacility,237990,237,237990,,12,StreetName,CityName,Canada,Alberta,a1a1a1,NULL,23,70,2,0,45:16.3,Test green company1,NULL
6,TestTemplates,237120,237,237120,,123,Strn,Cat,Canada,Alberta,a1a1a1,NULL,23,70,1,0,45:14.1,Test green company1,NULL
7,testdwnld,561410,561,561410,,asd,dsa,das,Canada,Alberta,a1a1a1,NULL,56,70,1,0,48:44.1,Test green company1,NULL
13,rero4,236220,236,236220,,ad,asd,dsa,Canada,Alberta,a1a1a1,NULL,23,70,3,2,40:38.5,Test green company1,NULL
427,Airport Pump House,221310,221,221310,39,59509,RGE RD 260,Clyde,Canada,Alberta,T0G0P0,NULL,22,462,2,0,26:43.2,Westlock County,pjean@westlockcounty.com
40,Davey Textile Solutions,313220,313,313220,,10505,169 Street NW,Edmonton,Canada,Alberta,T5P4Y7,NULL,31,87,3,2,14:47.4,Davey Textile Solutions,ldegenstein@daveytextiles.com
51,Kaybob 05-33 Gathering Station,211110,211,211110,,05-33-063-20W5,N/A,Municipal District of Greenview,Canada,Alberta,T0H3Z0,NULL,21,108,3,2,43:34.2,Veren,tcourte@vrn.com
106,Red Deer,311515,311,311515,,5410,Gaetz Ave,Red Deer,Canada,Alberta,T4N4B5,NULL,31,109,3,2,05:48.5,Saputo Dairy Products Canada,karim.saadi@saputo.com
107,Edmonton,311511,311,311511,16110,116,Ave NW,Edmonton,Canada,Alberta,T5M3V4,NULL,31,109,3,2,09:41.3,Saputo Dairy Products Canada,karim.saadi@saputo.com
78,Southland Trailers,336212,336,336212,1405,41,Street North,Lethbridge,Canada,Alberta,T1H6G3,NULL,31,110,1,0,18:28.6,Southland Trailer Corp,leesa.degraaf@southlandtrailers.com
95,Gordondale Sour Gas Plant,211110,211,211110,,16-31-078-11W6,"55.808644, -119.684447",Bonanza,Canada,Alberta,A1A1A1,NULL,21,111,3,2,20:06.9,Birchcliff Energy Ltd.,dmorrison@birchcliffenergy.com
15,CSV Karr Gas Plant,211110,211,211110,,8.5,N Imperial Road,Greenview County,Canada,Alberta,T0G2C0,NULL,21,119,3,2,56:09.5,CSV Midstream Solutions Corp,brett.wightman@csvmidstream.com
50,HB Summerland Farming CO LTD,112210,112,112210,1,BOX 1328,BOX1328,Claresholm,Canada,Alberta,T0L0T0,NULL,11,134,3,2,16:40.6,DBBS Technology,denering@dbbs.technology
2,BioComposites Group Inc.,339999,3399,339999,,3250,50 Street,Drayton Valley,Canada,Alberta,T7A 0C6,NULL,33,148,2,0,03:49.2,BioComposites Group Inc.,dmadlung@biocompositesgroup.com
25,Facility 8,237210,237,237210,1234,123,Maple Street,Calgary,Canada,Alberta,A1A1A1,NULL,23,148,1,0,11:26.1,BioComposites Group Inc.,dmadlung@biocompositesgroup.com
110,Norquest Industries Inc.,333130,333,333130,,3911,74 Ave NW,Edmonton,Canada,Alberta,T6B2Z7,NULL,31,161,3,2,30:11.1,Norquest Industries Inc.,paula.vanderzyde@norquestindustries.com
32,Optima Manufacturing,333130,333,333130,,2480,Pegasus Road,Calgary,Canada,Alberta,T2E8G8,NULL,31,163,3,2,23:53.7,Optima Manufacturing,mahertzer@optimamfg.com
141,Fourth Creek Gas Plant,211110,211,211110,15-11-82-09W6M,"56.100851, -119.285974","56.100851, -119.285974",Peace Arch,Canada,Alberta,A1A1A1,NULL,21,367,3,2,09:12.6,NorthRiver midstream,abdel.hagar@nrm.ca
281,Canfor Whitecourt,321111,321,321111,,5004,52 Street,Whitecourt,Canada,Alberta,T7S1N2,NULL,31,175,2,0,18:58.5,Canadian Forest Products Ltd.,Kevin.McIntyre@canfor.com
252,Test Facility 1,114210,114,114210,2,2,Test St,Calgary,Canada,Alberta,A1A1A1,NULL,11,471,2,0,46:14.7,TestCompany81,NULL
312,Terrestrial X,332710,332,332710,6244,50th,Street,Edmonton,Canada,Alberta,T6B2N7,NULL,31,516,2,0,52:01.0,Terrestrial X Inc.,grant@terrestrialx.com
323,sssmmmmm,561310,561,561310,,222,aaa,asd,Canada,Alberta,t4t4t4,NULL,56,522,3,2,36:03.8,Uber,andrei60@yopmail.com
23,Alberta Newsprint Company,322122,322,322122,,Postal Bag 9000,Whitecourt,Whitecourt,Canada,Alberta,T7S1P9,NULL,31,164,3,2,51:47.1,Alberta Newsprint Company,poornac@albertanewsprint.com
100,Millar Western Forest Products Ltd. Slave Lake Pulp Division,322111,322,322111,,43016,East Mitsue Road,Lesser Slave River ,Canada,Alberta,T0G2A0,NULL,31,176,2,0,30:48.4,Millar Western Forest Products Ltd. ,mmorton@millarwestern.com
42,TriAcc Office,211110,211,211110,,123,abc St.,Calgary,Canada,Alberta,T2P3R5,NULL,21,191,2,0,17:45.7,TriAcc Group Inc.,peter.bryson@triacc.ca
67,Bornite FENN Big Valley 15-22-035-20,211110,211,211110,0,15-22-035-20W4,0,Calgary,Canada,Alberta,A1A1A1,NULL,21,191,3,2,17:57.0,TriAcc Group Inc.,peter.bryson@triacc.ca
117,ABBT3220023,211110,211,211110,Gift Lake 06-34-78-11W5,55.801345,-115.621673,Knappen,Canada,Alberta,T0G1B0,NULL,21,191,2,0,58:51.5,TriAcc Group Inc.,peter.bryson@triacc.ca
31,Wild Rose Brewery,312120,312,312120,15,5505,"72 Ave, South East",Calgary,Canada,Alberta,T2C3C4,NULL,31,196,3,2,36:30.5,Sleeman Breweries Ltd.,chris.dougherty@sleemanbreweries.ca
26,Test,211110,211,211110,,315,Slate Ave,Stony plain,Canada,Alberta,T7Z0J2,NULL,21,205,2,0,49:14.5,Select Electrical Enterprises LTD,justint@selectelectricalent.com
3,Harmattan Gas Processing Complex,211130,2111,211130,31462,Range Road 52,Range Road 52,Sundre,Canada,Alberta,t0m1x0,NULL,21,211,2,0,22:56.8,Avatar Ventures - Nexa,tylertarnoczi@outlook.com
17,TestCompany1,111411,111,111411,5,55,Test Street,Toronto,Canada,Alberta,A1A1A1,NULL,11,211,3,2,53:38.1,Avatar Ventures - Nexa,tylertarnoczi@outlook.com
52,abc,211141,211,211141,,144 4 Ave SW,144 4 Ave SW,Calgary,Canada,Alberta,T2P3N4,NULL,21,212,3,2,12:35.2,VL Energy Ltd,adam.abou-dehn@vlenergy.ca
53,abc,211141,211,211141,,"112 4 Ave SW, Calgary, AB",144 4 Ave SW,Calgary,Canada,Alberta,T2P3N3,NULL,21,212,2,0,20:25.1,VL Energy Ltd,adam.abou-dehn@vlenergy.ca
16,Water Pure & Simple - Westlock,312110,312,312110,,9612,100 Street,Westlock,Canada,Alberta,T7P2L2,NULL,31,215,2,0,58:19.7,Water Pure & Simple,john@h2opureandsimple.com
49,AB Mauri Calgary Plant,311990,311,311990,2201,15,Street,Calgary,Canada,Alberta,T2G3M3,NULL,31,219,3,2,46:25.7,AB Mauri (Canada) Limited,darrenclark@abmauri.com
28,RME Red Deer,115110,115,115110,,66,Belich Crescent,Red Deer,Canada,Alberta,T4S2K5,NULL,11,230,2,0,43:34.2,Rocky Mountain Equipment LP,facilities@rockymtn.com
30,RME Edmonton,115110,115,115110,,17720,105 Ave,Edmonton,Canada,Alberta,T5S1G4,NULL,11,230,2,0,53:26.7,Rocky Mountain Equipment LP,facilities@rockymtn.com
20,NANTON PROCESSING,115110,115,115110,,2211, 19 Ave,NANTON,Canada,Alberta,T0L1R0,NULL,11,231,2,0,13:07.0,TASLAR TRADING CORP,h.taslar@gmail.com
1,BioComposites Group Inc.,339999,3399,339999,,3250,50 Street,Drayton Valley,Canada,Alberta,T7A0C6,NULL,33,119,2,0,55:03.0,CSV Midstream Solutions Corp,brett.wightman@csvmidstream.com
428,Long Island Lake - Water Treatment,221310,221,221310,39,63332,RGE RD 260,Dapp,Canada,Alberta,T0G0S0,NULL,22,462,2,0,53:13.7,Westlock County,pjean@westlockcounty.com
35,Pro-Pipe Service and Sales Ltd,339999,339,339999,1507,7,St,Nisku,Canada,Alberta,T9E8A8,NULL,31,235,1,0,57:51.9,Pro-Pipe Service and Sales Ltd.,jocelyn@propipecanada.com
22,TestCompany1,327910,327,327910,4,55,320,Toronto,Canada,Alberta,M4Y1C9,NULL,31,236,1,0,35:42.7,TC53,NULL
24,TestCompany4,322220,322,322220,5,5,5,toronto,Canada,Alberta,A1A1A1,NULL,31,236,2,0,03:18.6,TC53,NULL
27,Home Team Facility,313240,313,313240,,8880,Horton Street SW,Calgary,Canada,Alberta,T2V2W3,NULL,31,237,2,0,17:03.7,Test Malka,malka.labell@enerva.ca
29,Findley 9-24-57-6W6,211110,211,211110,3100,308,4th Ave SW,Calgary,Canada,Alberta,T2P0H7,NULL,21,241,2,0,55:21.9,Pieridae Energy,kern.shepherd@pieridaeenergy.com
33,Jumping Pound Gas Plant 13-13-25-5W5,211110,211,211110,3100,308,4th Ave SW,Calgary,Canada,Alberta,T2P0H7,NULL,21,241,2,0,42:17.4,Pieridae Energy,kern.shepherd@pieridaeenergy.com
38,TOURMALINE EXSHAW 03-10-077-07W6,211110,211,211110,3700,205,6th Avenue SW,Calgary,Canada,Alberta,T2P3H7,NULL,21,243,3,2,48:24.5,Tourmaline Oil Corp,krista.town@tourmalineoil.com
43,Tourmaline WILLGREEN 10-34-040-06W5,211110,211,211110,3700,250,6 Ave SW,Calgary,Canada,Alberta,T2P3H7,NULL,21,243,3,2,22:05.3,Tourmaline Oil Corp,krista.town@tourmalineoil.com
157,11-16-055-24W5,211110,211,211110,3700,250,6 Ave SW,Calgary,Canada,Alberta,T2P3H7,NULL,21,243,3,2,29:52.3,Tourmaline Oil Corp,krista.town@tourmalineoil.com
158,Wapiti 13-15-067-08W6,211110,211,211110,3700,250,6 Ave SW,Calgary,Canada,Alberta,T2P3H7,NULL,21,243,3,2,12:50.5,Tourmaline Oil Corp,krista.town@tourmalineoil.com
39,ARK Greenhouse on Sprung Campus,115110,115,115110,,80039,Maple Leaf Rd.,Aldersyde,Canada,Alberta,T0L0A0,NULL,11,246,2,0,19:00.1,Agro Resilience Kit,danc@arkltd.net
36,HITEC FUEL SYSTEMS INC,484229,484,484229,,15340,114 ave,Edmonton,Canada,Alberta,T5M2Z2,NULL,48,248,2,0,07:27.6,HITEC FUEL SYSTEMS INC,HITECFUEL@GMAIL.COM
41,Dcore Project Solutions,238170,238,238170,,6404,30 Street SE,Calgary,Canada,Alberta,T2C1V6,NULL,23,252,2,0,22:28.2,E-2 Solutions,info@e-2solutions.com
46,Success Berry Gas Plant,211110,211,211110,,0,01-02-027-14 W4M,Sunnynook,Canada,Alberta,A1A1A1,NULL,21,254,3,2,41:41.1,Success Resources Ltd.,aocchialini@successresources.ca
45,TestOldMailOutlook,111330,111,111330,,123,asd,asd,Canada,Alberta,a1a1a1,NULL,11,256,3,2,52:54.7,OldOutlook,testappqwerty1@outlook.com
47,Ald West 06-02 Battery,211110,211,211110,,06-02-016-15W4,"50.315528, -111.966332",Brooks,Canada,Alberta,A1A1A1,NULL,21,257,3,2,34:05.9,Torxen,garrettcopp@torxen.net
84,Makepeace Gas Plant,211110,211,211110,,12-33-022-18W4,"50.915880, -112.448471",Brooks,Canada,Alberta,T1R0A7,NULL,21,257,3,2,50:26.4,Torxen,garrettcopp@torxen.net
58,Sakai Spice,311990,311,311990,,4201,2nd Ave N,Lethbridge,Canada,Alberta,T1H0C8,NULL,31,261,2,0,03:29.3,SAKAI SPICE (CANADA) CORPORATION,dave@sakaispice.com
59,Alberta Pipe Support &  Fabrication Inc.,332319,332,332319,,4403,84 Ave NW,Edmonton,Canada,Alberta,T6B2S6,NULL,31,263,2,0,56:00.3,Alberta Pipe Suppots & Fabrication Inc.,allanj@apsfabricationinc.com
60,TARA CENTRE,115110,115,115110,,55051,TOWNSHIP RD 710,COUNTY OF GRANDE PRAIRIE,Canada,Alberta,T8W5A7,NULL,11,265,2,0,30:17.7,GRANDE PRAIRIE REGIONAL AGRICULTURAL AND EXHIBITION SOCIETY,kim@evergreenpark.ca
108,West Dried Meat Lake Regional Landfill,562110,562,562110,,SW 14-44-21,SW 14-44-21,Ferintosh,Canada,Alberta,T0B3L0,NULL,56,267,1,0,20:24.8,Newo Global Energy,maroof@newo.energy
64,Kick Ass Caramels Inc.,311340,311,311340,,5002,50 street,Stony Plain,Canada,Alberta,T7Z1T2,NULL,31,270,2,0,44:52.7,Kick Ass Caramels Inc,chat@kickasscaramels.com
71,Spolumbo's Fine Foods,311999,311,311999,,1308,9 Ave SE,Calgary,Canada,Alberta,T2G0T3,NULL,31,276,3,2,25:30.9,Spoletini/Palumbo Inc.,rtickner@spolumbos.com
72,Elite Waste Disposal Inc. Clairmont ,562990,562,562990,,9402,81st Ave,Clairmont,Canada,Alberta,T8X0M2,NULL,56,278,3,2,07:51.9,Elite Waste Disposal Inc.,rich@elitevac.ca
79,Miki Test account plz don't delete,112920,112,112920,,111,Japan street,Calgary,Canada,Alberta,A1A1B1,NULL,11,280,2,0,21:12.9,Mal,semi@eralberta.ca
74,214 Place ,561110,561,561110,,10130 99 Street,180,Grande Prairie,Canada,Alberta,T8V2V4,NULL,56,283,1,0,13:58.3,Park Property Management Group Ltd.,admin@parkpmg.ca
75,Above and Beyond Compression Inc,211110,211,211110,,2305-84 Ave,2305-84 Ave,Edmonton,Canada,Alberta,T6P1K1,NULL,21,285,3,2,29:50.2,Above and Beyond Compression Inc,rmiller@abcomp.ca
76,Grant Metal Products Shop,333519,333,333519,291210,291210,Wagon Wheel Road Rocky View,Calgary,Canada,Alberta,T4A0E2,NULL,31,286,3,2,38:43.1,Grant Metal Products Ltd.,sphilipiew@grantmetal.com
80,Harhil Farm Ltd,112310,112,112310,,SW13-41-25-W4,SW13-41-25-W4,Clive,Canada,Alberta,A1A1A1,NULL,11,291,2,0,46:12.2,Harhil Farm Ltd.,cmvanfarm@gmail.com
81,RHK Hydraulics Main Building,332710,332,332710,,13111, 159 Street NW,Edmonton,Canada,Alberta,T5V1H6,NULL,31,292,2,0,01:11.3,RHK Hydraulic Cylinder Services,lockeyrhynold@rhkhydraulics.com
82,Epic Stables 1,111999,111,111999,,257001,112 St W,Foothills,Canada,Alberta,T1S0W1,NULL,11,293,1,0,00:33.0,Epic Stables,Stanislav.lopata@gmail.com
86,Solvet,339999,339,339999,,7226,107 Ave SE,Calgary,Canada,Alberta,T2C5N6,NULL,31,294,1,0,31:25.5,Solvet,Steve.frederick@avetlabs.com
83,Hog Barn,112210,112,112210,,SE 04-05-21-W4,SE 04-05-21-W4,Magrath,Canada,Alberta,A1A1A1,NULL,11,295,2,0,29:16.0,Hutterville Equipment Co. Ltd.,mgr@hutterville.com
87,Poultry Operation,112310,112,112310,SE 04-05-21-W4,BOX 70,SE 04-05-21-W4,MAGRATH,Canada,Alberta,T0K1J0,NULL,11,295,1,0,18:04.0,Hutterville Equipment Co. Ltd.,mgr@hutterville.com
88,Poultry Operation,112310,112,112310,70,SE 04-05-21-W4,box 70,MAGRATH,Canada,Alberta,T0K1J0,NULL,11,295,2,0,26:23.6,Hutterville Equipment Co. Ltd.,mgr@hutterville.com
85,Wabash Mfg. Inc.,336211,336,336211,,"Lot 7, 8, 9, Block 2, Plan 7720694",9312 - 110A Street,Westlock,Canada,Alberta,T7P2M4,NULL,31,296,2,0,19:40.2,Wabash Mfg. Inc.,julie@wabash.ca
37,Demir Engineering,332999,332,332999,,7324,36 Street NW,Edmonton,Canada,Alberta,T6B3E8,NULL,31,249,3,2,27:36.5,Demir Engineering Ltd.,anita@demirengineering.com
61,Rostel Industries,332999,332,332999,,9699,Shepard Rd,Calgary,Canada,Alberta,T2C4K5,NULL,31,266,3,2,50:42.4,Precision Drilling Corporation,gwijewardana@precisiondrilling.com
429,c1,112210,112,112210,,12,asd,asd,Canada,Alberta,t3t3t3,NULL,11,536,3,2,28:01.7,Bruh,andrei81@yopmail.com
89,Greatwest Kenworth Clairmont,488990,488,488990,,7202,98 ST,Clairmont,Canada,Alberta,t8x5b1,NULL,48,298,3,2,25:51.7,Greatwest Kenworth,kats@greatwestkenworth.com
91,WIKA Instruments Ltd.,333248,333,333248,,3103,Parsons Road,Edmonton,Canada,Alberta,T6N1C8,NULL,31,301,3,2,27:06.3,WIKA Instruments Ltd.,katie.kaiser@wika.com
92,OEM Remanufacturing,333619,333,333619,,156 St NW,13315,Edmonton,Canada,Alberta,T5V1V2,NULL,31,302,2,0,51:04.1,Finning Canada,thomas.swaczyna@finning.com
93,Head Office,238210,238,238210,,13415,149 Street,Edmonton,Canada,Alberta,T5L2T3,NULL,23,303,2,0,53:20.9,Altapro Electric Ltd.,mathewrea@altapro.ca
94,WFM Claresholm Chicken Processing Facility,311615,311,311615,,4264,3 St E,Claresholm,Canada,Alberta,T0L0T0,NULL,31,309,3,2,59:10.2,Western Fine Meats Inc,accounting@westernfinemeats.ca
97,Rayner Ranch Institute,111940,111,111940,338042,304th ,West,Millarville,Canada,Alberta,T0L1K0,NULL,11,310,2,0,56:10.4,Rayner Ranch Institute,mark@raynerinstitute.com
98,Packers Plus Energy Services MX Manufacturing ,324190,324,324190,5707,72A ,Avenue,Edmonton ,Canada,Alberta,T6B2J1,NULL,31,312,3,2,36:40.5,Packers Plus Energy Services,neal.edillon@packersplus.com
102,Potato Washer,111211,111,111211,,SE18-10-16-W4,SE18-10-16-W4,Taber,Canada,Alberta,A1A1A1,NULL,11,316,2,0,53:16.3,Nakamura Farms (2022) Ltd,paige.nkfarms@gmail.com
112,5Mile Farms ,112310,112,112310,1,52.73834,112.6625,Edberg,Canada,Alberta,T0B1J0,NULL,11,329,3,2,23:18.1,"5Mile Farms Inc,",prairiecleanorganic@gmail.com
140,Trades Guild,321999,321,321999,,4405A,"75 Ave SE, Calgary, AB",Calgary,Canada,Alberta,T2C2K8,NULL,31,330,3,2,31:42.5,Trades Guild,chase@tradesguild.ca
136,Home Growers,111412,111,111412,30,37041,River Road,Red Deer County,Canada,Alberta,T4G0M9,NULL,11,360,2,0,03:17.3,Alberta Canabiz Ltd.,clare@homegrowers.ca
73,Vyefield - South Processing Building,311824,311,311824,,111,370 Ave W,Foothills,Canada,Alberta,T0L0A0,NULL,31,282,2,0,50:37.2,Vyefield Enterprises Ltd.,tim@vyefield.ca
